skype_image_date,skype_image_cpu_utilization,skype_image_total_power,skype_image_cpu_power,skype_image_gpu_power
2023-10-23 02:36:19,0.04343,40.11125,4.53125,35.58000
2023-10-23 02:36:20,0.04095,39.41125,4.03125,35.38000
2023-10-23 02:36:21,0.02980,39.37812,3.82813,35.55000
2023-10-23 02:36:22,0.02559,32.41781,3.50781,28.91000
2023-10-23 02:36:23,0.19231,34.28844,4.64844,29.64000
2023-10-23 02:36:24,0.15530,33.96656,3.97656,29.99000
2023-10-23 02:36:25,0.15257,34.33906,3.78906,30.55000
2023-10-23 02:36:26,0.18050,34.82875,4.21875,30.61000
2023-10-23 02:36:27,0.17366,33.74250,4.06250,29.68000
2023-10-23 02:36:28,0.21918,34.80187,4.17188,30.63000
